price_actual,total_renewable_energy
41.97,14850
56.62,13590
64.46,11868
68.86,9825
67.51,9928
58.31,10480
51.78,9367
47.15,7694
41.5,7643
37.33,7344
35.33,7249
34.67,7149
36.5,6545
44.59,6205
61.72,6593
67.85,7267
72.67,8626
77.71,10035
75.51,10812
76.74,11393
71.84,11668
68.76,11129
67.56,10696
68.98,10636
76.95,10924
85.91,11020
102.62,10804
97.99,11102
82.89,10821
72.83,9592
68.4,9726
61.16,5936
59.36,5437
54.01,5345
53.17,5247
51.89,5080
52.35,4859
58.22,4923
73.56,6140
79.08,7226
82.09,8141
85.98,9136
85.33,10663
84.41,11030
79.31,11389
74.93,10803
73.39,10983
76.03,10890
76.88,10780
88.42,9980
91.25,9147
90.14,9430
84.78,8924
75.41,7681
69.47,6596
60.2,16721
56.95,16288
55.25,16182
53.4,16324
52.05,15860
53.63,15221
58.9,13939
77.06,13213
81.2,13376
85.06,13396
88.22,13591
86.4,13378
86.48,13168
81.83,12862
80.14,11938
79.95,11033
81.04,10138
84.66,11077
91.68,11980
94.42,11895
96.62,12322
89.38,12435
83.42,11292
80.59,10676
73.92,5701
64.47,4849
56.34,4730
55.19,5660
54.8,5752
56.62,5338
63.09,4955
76.93,6715
84.62,7785
89.34,8306
92.25,8700
89.74,8529
86.53,8289
81.97,8612
80.32,8273
80.05,8146
80.48,7362
80.31,7036
91.92,9372
93.96,9062
94.41,8207
88.01,7358
82.03,6560
78.47,5702
68.9,9059
59.45,9697
55.68,9832
52.66,10321
51.92,10818
51.83,11402
55.16,11841
66.98,12702
70.6,13802
72.21,14972
75.28,15769
73.39,16745
70.32,17886
62.54,18308
60.15,17786
56.98,17799
56.29,17488
59.5,16650
70.81,15212
77.94,15884
78.64,16134
74.83,16562
65.51,16893
57.84,15924
52.87,15759
48,16357
47.42,16465
45.03,16093
42.45,16609
44.3,17017
45.46,18315
49.38,19112
51.31,18674
54.63,19329
57.79,20051
57.51,20975
55.25,21952
54,22220
49.15,22189
45.64,21809
44.35,21217
46.06,20571
53.42,20199
60.97,20388
62.26,20136
58.97,19018
53.16,18487
48.15,18454
41.05,18979
34.6,19215
24.74,19282
25.58,18685
25.1,18151
26.06,17805
26.3,17647
30.48,17956
35.9,17752
39.99,17287
44.71,17119
45.8,17646
40.22,18175
41.1,18305
40.53,18921
39.42,18422
39.24,18108
42.61,17536
53.33,16204
69.12,16339
72.68,16946
70.85,16442
69.48,16308
59.87,15477
55.76,13499
49.9,13454
46.86,13921
46.39,14530
46.84,14740
47.34,14133
50.5,13080
65.03,13441
75.14,14385
81.94,14726
87.32,14765
87.54,16079
78.56,16774
71.24,16938
66.46,15826
62.55,14978
65,14547
68.14,14009
76.05,14343
87.82,15987
81.44,16989
70.76,16792
63.1,15274
51.14,14858
48.72,16116
46.11,17474
36.96,17970
35.54,17941
31.29,18144
35.2,18642
37.68,19188
51.69,19226
55.13,19976
62.68,20842
65.19,22079
61.66,23234
60,24000
54.05,24335
53.35,23493
53.58,22113
54.13,21343
56.13,20429
63.11,20433
73.37,21960
71.35,21912
64.87,21269
57.71,19834
52.19,18950
38.95,18728
38,19116
30.03,19304
32.38,18599
32.26,17741
33.69,17389
39.16,16874
62,16305
67.44,16256
71.64,16852
72.98,18102
69.74,19376
69.71,19464
65.59,18655
63.29,17323
63.06,16378
64.38,15765
67.32,15616
80.41,15223
82.82,15633
81.19,15179
74.78,14590
68.26,13777
63.77,11850
59.22,10152
57.64,10229
55.26,10689
52.9,10638
52.38,10580
52.58,10577
57.83,10236
66.58,12016
73.93,13192
77.59,14023
79.63,15018
76.54,16445
76.82,16176
71.04,16198
69.22,15302
69.79,14570
71.35,13816
76.12,13168
83.8,12048
92.16,13201
95.95,13343
86.39,12974
74.24,12784
69.89,11534
58.73,9948
58.15,9133
54.66,9101
51.76,9643
50.98,9703
52.64,9577
59.14,9923
65.59,11799
72.96,13713
73.33,14377
75.76,15215
72.88,15383
72.28,15420
65.34,15805
63.99,15731
62.2,15645
61.55,15177
66.07,15165
74.77,14888
78.65,15575
79.81,15219
75.22,14985
66.65,14363
62.88,13852
60.52,12995
54.57,13885
52.21,14306
50.07,14027
48.31,13904
50.01,14029
48.78,14797
47.73,14771
47.76,16261
53.12,17528
56.4,19093
54.33,20684
48.42,23064
49.74,23915
43.76,24082
29.81,24476
24.69,24530
30.72,23842
42.12,21195
50.33,19666
54.18,20400
51.86,19902
45.47,19034
40.91,17800
